Height_in_Inches,Weight_in_Kg,Followers Instagram,Followers Tiktok,Followers Twitter,School Max Group,School Count Group,Hometown Max Group,Hometown Count Group
71,199,5100,0,0,1,1,2,2
76,185,1600,0,0,2,1,2,2
72,175,5500,0,0,1,12,1,1
77,290,28000,29000,8400,1,6,2,2
72,190,48000,0,0,2,1,2,2
74,207,8700,7,2900,1,1,1,1
74,255,15700,19300,10600,1,4,1,1
70,193,8000,19500,4300,1,1,1,1
72,269,3400,0,0,1,4,1,1
74,270,1,1100,1400,1,2,1,1
72,207,4000,0,0,1,1,1,1
77,310,2000,0,0,1,1,1,1
72,200,24000,0,0,1,1,1,1
73,182,3700,12100,2300,1,1,1,1
76,201,10900,1100,2500,1,4,1,1
72,183,8400,38000,2700,2,9,2,2
76,290,2000,119,2000,1,1,1,1
70,167,5800,11100,8100,1,3,1,1
75,180,2700,1200,1300,1,1,1,1
73,185,2000,194,1900,2,5,2,2
76,288,2100,304,2300,1,5,1,1
72,185,4600,0,0,1,7,1,1
68,180,2000,0,0,1,3,1,1
75,180,4000,0,0,1,2,1,1
74,217,1400,0,0,1,1,1,1
77,218,9800,64000,13700,1,2,1,1
74,210,26000,16200,4600,2,6,2,2
70,205,2900,0,0,1,1,1,1
70,161,13900,5600,6900,1,1,1,1
78,318,7500,1600,7600,2,3,1,1
75,205,1,0,0,1,1,1,1
75,232,1400,187,2200,1,1,1,1
70,178,5300,0,0,1,2,1,1
70,196,16600,0,0,1,2,1,1
76,250,3800,0,0,1,1,1,1
73,208,1,229,1600,2,2,1,1
74,200,1400,0,0,1,2,1,1
75,195,5200,0,0,1,4,1,1
75,215,1600,0,0,1,1,1,1
76,325,8300,4,11300,1,1,1,1
75,185,830,0,0,1,1,1,1
72,199,3000,115,1500,10,6,10,10
73,203,29000,18600,11700,2,35,2,2
69,205,5500,0,0,1,1,1,1
79,230,660,0,0,1,1,1,1
75,201,12300,0,0,1,12,1,1
75,325,3100,0,0,1,2,1,1
71,174.5,11600,0,0,1,8,1,1
71,222,10900,265,3300,2,35,1,1
76,223,6300,31,3900,1,2,1,1
71,190,2300,0,0,1,1,1,1
71,190,3600,0,0,1,2,1,1
77,278,11300,1100,4500,1,1,1,1
78,243,3000,0,0,1,1,1,1
77,300,1700,0,0,1,4,1,1
77,315,3900,0,0,1,2,1,1
74,243,10400,69,5000,1,2,1,1
77,250,3400,0,0,1,3,1,1
71,185,4900,0,0,1,1,2,2
76,200,2100,0,0,1,4,1,1
77,350,2400,0,0,1,1,1,1
76,207,2900,281,1300,1,1,1,1
74,218,2600,126,1600,1,5,1,1
73,180,26,0,0,1,1,1,1
77,238,5300,0,0,1,4,1,1
73,193,2700,1,1200,1,1,1,1
77,240,5300,726,3200,1,2,1,1
74,200,16700,1700,7000,2,35,1,1
73,204,11700,0,0,1,4,1,1
69,168,28000,0,0,1,2,2,2
71,165,4000,0,0,1,5,1,1
76,205,2300,1,3700,1,1,5,5
76,222,3900,24,1800,1,4,1,1
77,235,852,87,760,1,1,1,1
74,212,281,0,0,1,1,1,1
73,170,2500,156,1700,1,2,1,1
71,165,12100,18100,6900,1,1,1,1
74,267,8400,0,0,1,3,1,1
78,380,8400,6,10500,1,1,1,1
73,191,8000,75000,1300,1,6,1,1
75,327,5500,2400,4000,2,35,1,1
70,175,1,0,0,1,1,1,1
74,245,8000,0,0,1,1,1,1
71,173,3600,0,0,2,9,2,2
71,175,3600,0,0,1,2,1,1
71,188,8100,63,5400,1,2,1,1
74,205,170,0,0,1,1,1,1
72,178,395,0,0,1,1,1,1
74,185,8000,0,0,1,1,1,1
71,170,15200,73,5600,2,3,2,2
77,185,11500,0,0,1,1,1,1
74,196,5500,0,0,1,2,1,1
71,187,1800,0,0,1,3,1,1
73,196,3000,447,1100,1,3,2,2
75,220,1100,0,0,1,4,2,2
72,180,3600,660,2000,1,1,1,1
76,280,3500,53,2100,1,1,1,1
76,220,2400,0,0,1,1,1,1
76,230,1400,0,0,1,1,1,1
71,180,5500,0,0,1,1,1,1
71,185,4000,285,3100,1,1,1,1
71,174,7500,0,0,1,2,1,1
72,179,16800,1,4200,1,5,1,1
75,216,4600,0,0,1,2,1,1
75,269,19400,330,5500,1,7,1,1
73,217,2600,0,0,2,9,2,2
